TEAM_ID,TEAM_NAME,PARKID,2012_HOME_WINS,2012_HOME_LOSSES,2012_HOME_WIN_PERCENT,2012_AWAY_WINS,2012_AWAY_LOSSES,2012_AWAY_WIN_PERCENT,2012_TOTAL_WIN_PERCENT,2013_HOME_WINS,2013_HOME_LOSSES,2013_HOME_WIN_PERCENT,2013_AWAY_WINS,2013_AWAY_LOSSES,2013_AWAY_WIN_PERCENT,2013_TOTAL_WIN_PERCENT,2014_HOME_WINS,2014_HOME_LOSSES,2014_HOME_WIN_PERCENT,2014_AWAY_WINS,2014_AWAY_LOSSES,2014_AWAY_WIN_PERCENT,2014_TOTAL_WIN_PERCENT,2015_HOME_WINS,2015_HOME_LOSSES,2015_HOME_WIN_PERCENT,2015_AWAY_WINS,2015_AWAY_LOSSES,2015_AWAY_WIN_PERCENT,2015_TOTAL_WIN_PERCENT,2016_HOME_WINS,2016_HOME_LOSSES,2016_HOME_WIN_PERCENT,2016_AWAY_WINS,2016_AWAY_LOSSES,2016_AWAY_WIN_PERCENT,2016_TOTAL_WIN_PERCENT,2017_HOME_WINS,2017_HOME_LOSSES,2017_HOME_WIN_PERCENT,2017_AWAY_WINS,2017_AWAY_LOSSES,2017_AWAY_WIN_PERCENT,2017_TOTAL_WIN_PERCENT
NYY,New York Yankees,NYC21,51,30,0.62962962962963,44,37,0.54320987654321,0.58641975308642,46,35,0.567901234567901,39,42,0.481481481481481,0.524691358024691,43,38,0.530864197530864,41,40,0.506172839506173,0.518518518518518,45,36,0.555555555555556,42,39,0.518518518518518,0.537037037037037,48,33,0.592592592592593,36,45,0.444444444444444,0.518518518518518,51,30,0.62962962962963,40,41,0.493827160493827,0.561728395061728
OAK,Oakland Athletics,OAK01,50,31,0.617283950617284,44,37,0.54320987654321,0.580246913580247,52,29,0.641975308641975,44,37,0.54320987654321,0.592592592592593,48,33,0.592592592592593,40,41,0.493827160493827,0.54320987654321,34,47,0.419753086419753,34,47,0.419753086419753,0.419753086419753,34,47,0.419753086419753,35,46,0.432098765432099,0.425925925925926,46,35,0.567901234567901,29,52,0.358024691358025,0.462962962962963
PHI,Philadelphia Phillies,PHI13,40,41,0.493827160493827,41,40,0.506172839506173,0.5,43,38,0.530864197530864,30,51,0.37037037037037,0.450617283950617,37,44,0.45679012345679,36,45,0.444444444444444,0.450617283950617,37,44,0.45679012345679,26,55,0.320987654320988,0.388888888888889,37,44,0.45679012345679,34,47,0.419753086419753,0.438271604938272,39,42,0.481481481481481,27,54,0.333333333333333,0.407407407407407
PIT,Pittsburgh Pirates,PIT08,45,36,0.555555555555556,34,47,0.419753086419753,0.487654320987654,50,31,0.617283950617284,44,37,0.54320987654321,0.580246913580247,51,30,0.62962962962963,37,44,0.45679012345679,0.54320987654321,53,28,0.654320987654321,45,36,0.555555555555556,0.604938271604938,38,42,0.475,40,41,0.493827160493827,0.484472049689441,44,37,0.54320987654321,31,50,0.382716049382716,0.462962962962963
SDN,San Diego Padres,SAN02,42,39,0.518518518518518,34,47,0.419753086419753,0.469135802469136,45,36,0.555555555555556,31,50,0.382716049382716,0.469135802469136,48,33,0.592592592592593,29,52,0.358024691358025,0.475308641975309,39,42,0.481481481481481,35,46,0.432098765432099,0.45679012345679,39,42,0.481481481481481,29,52,0.358024691358025,0.419753086419753,43,38,0.530864197530864,28,53,0.345679012345679,0.438271604938272
SEA,Seattle Mariners,SEA03,40,41,0.493827160493827,35,46,0.432098765432099,0.462962962962963,36,45,0.444444444444444,35,46,0.432098765432099,0.438271604938272,41,40,0.506172839506173,46,35,0.567901234567901,0.537037037037037,36,45,0.444444444444444,40,41,0.493827160493827,0.469135802469136,44,37,0.54320987654321,42,39,0.518518518518518,0.530864197530864,40,41,0.493827160493827,38,43,0.469135802469136,0.481481481481481
SFN,San Francisco Giants,SFO03,48,33,0.592592592592593,46,35,0.567901234567901,0.580246913580247,42,40,0.51219512195122,34,46,0.425,0.469135802469136,45,36,0.555555555555556,43,38,0.530864197530864,0.54320987654321,47,34,0.580246913580247,37,44,0.45679012345679,0.518518518518518,45,36,0.555555555555556,42,39,0.518518518518518,0.537037037037037,38,43,0.469135802469136,26,55,0.320987654320988,0.395061728395062
STL,St Louis Cardinals,STL10,50,31,0.617283950617284,38,43,0.469135802469136,0.54320987654321,54,27,0.666666666666667,43,38,0.530864197530864,0.598765432098765,51,30,0.62962962962963,39,42,0.481481481481481,0.555555555555556,55,26,0.679012345679012,45,36,0.555555555555556,0.617283950617284,38,43,0.469135802469136,48,33,0.592592592592593,0.530864197530864,44,37,0.54320987654321,39,42,0.481481481481481,0.512345679012346
TBA,Tampa Bay Rays,STP01,46,35,0.567901234567901,44,37,0.54320987654321,0.555555555555556,51,30,0.62962962962963,41,41,0.5,0.56441717791411,36,45,0.444444444444444,41,40,0.506172839506173,0.475308641975309,42,42,0.5,38,40,0.487179487179487,0.493827160493827,36,45,0.444444444444444,32,49,0.395061728395062,0.419753086419753,42,39,0.518518518518518,38,43,0.469135802469136,0.493827160493827
TEX,Texas Rangers,ARL02,50,31,0.617283950617284,43,38,0.530864197530864,0.574074074074074,46,36,0.560975609756098,45,36,0.555555555555556,0.558282208588957,33,48,0.407407407407407,34,47,0.419753086419753,0.41358024691358,43,38,0.530864197530864,45,36,0.555555555555556,0.54320987654321,53,28,0.654320987654321,42,39,0.518518518518518,0.58641975308642,41,40,0.506172839506173,37,44,0.45679012345679,0.481481481481481
TOR,Toronto Blue Jays,TOR02,41,40,0.506172839506173,32,49,0.395061728395062,0.450617283950617,40,41,0.493827160493827,34,47,0.419753086419753,0.45679012345679,46,35,0.567901234567901,37,44,0.45679012345679,0.512345679012346,53,28,0.654320987654321,40,41,0.493827160493827,0.574074074074074,46,35,0.567901234567901,43,38,0.530864197530864,0.549382716049383,42,39,0.518518518518518,34,47,0.419753086419753,0.469135802469136
WSH,Washington Nationals,WAS11,50,31,0.617283950617284,48,33,0.592592592592593,0.604938271604938,47,34,0.580246913580247,39,42,0.481481481481481,0.530864197530864,51,30,0.62962962962963,45,36,0.555555555555556,0.592592592592593,46,35,0.567901234567901,37,44,0.45679012345679,0.512345679012346,50,31,0.617283950617284,45,36,0.555555555555556,0.58641975308642,47,34,0.580246913580247,50,31,0.617283950617284,0.598765432098765
