ID_RETRO,ID_FANGRAPHS,LAST_NAME,GIVEN_NAME
ariaa002,3087,Arias,Alberto A.
ariaa001,123,Arias,Alejandro
ariag001,1000299,Arias,George Alberto
ariaj001,3817,Arias,Joaquin
ariar101,1000300,Arias,Rodolfo
arleb101,1000301,Arlett,Russell Loris
arlid101,1000302,Arlich,Donald Louis
arlis101,1000303,Arlin,Stephen Ralph
armam001,1000304,Armas,Marcos Rafael
armat002,761,Armas,Antonio Jose
armat001,1000305,Armas,Antonio Rafael
armbe101,1000307,Armbrister,Edison Rosanda
armbo101,1000309,Armbrust,Orville Martin
armbc101,1000306,Armbruster,Charles Anthony
armbh101,1000308,Armbruster,Harry Gregory
armsg101,1000311,Armstrong,Noble George
armsh101,1000312,Armstrong,Howard Elmer
armsj001,1000313,Armstrong,Jack William
armsm001,1000314,Armstrong,Michael Dennis
armsr101,1000310,Armstrong,Robert Livingston
armss001,12857,Armstrong,Shawn Michael
arndh101,1000315,Arndt,Harry John
arndl001,1000316,Arndt,Larry Wayne
arnob101,1000317,Arnold,Willis S.
arnoc101,1000318,Arnold,Christopher Paul
arnoj001,1000319,Arnold,James Lee
arnos001,1000320,Arnold,Scott Gentry
arnot001,1000321,Arnold,Tony Dale
arnom101,1000322,Arnovich,Morris
arnsb001,1000323,Arnsberg,Bradley James
arnto101,1000324,Arntzen,Orie Edgar
aro-j001,14699,Aro,Jonathan Arturo
arocr001,1000325,Arocha,Rene
arrej001,4722,Arredondo,Jose Juan
arrij001,4153,Arrieta,Jacob Joseph
arrig101,1000326,Arrigo,Gerald William
arror001,174,Arrojo,Luis Rolando
arrob001,978,Arroyo,Bronson Anthony
arroc001,16434,Arroyo,Christian Israel
arrof001,1000327,Arroyo,Fernando
arrol101,1000328,Arroyo,Luis Enrique
arror101,1000329,Arroyo,Rudolph
arrue001,15809,Arruebarrena,Barbaro Erisbel
arunh101,1000330,Arundel,Harry
arunt101,1000331,Arundel,John Thomas
asadr001,1000332,Asadoor,Randall Carl
asbej101,1000333,Asbell,James Marion
asbjc101,1000334,Asbjornson,Robert Anthony
ascaj001,3951,Ascanio,Jose Eleazar
aschc001,11997,Asche,Cody James
valdl001,3332,Asencio,Jairo Manuel
asenm001,586,Asencio,Miguel
ash-k101,1000338,Ash,Kenneth Lowther
ashbr101,1000335,Ashburn,Don Richard
ashba001,1000336,Ashby,Alan Dean
ashba002,637,Ashby,Andrew Jason
ashea001,13560,Asher,Alec Edward
ashft001,1000337,Ashford,Thomas Steven
ashlb001,1000339,Ashley,Billy Manual
ashln001,3274,Ashley,Nevin Robert
asmut101,1000340,Asmussen,Thomas William
asprb101,1000341,Aspromonte,Robert Thomas
asprk101,1000342,Aspromonte,Kenneth Joseph
asseb101,1000343,Asselstine,Brian Hanly
assep001,1000344,Assenmacher,Paul Andre
astae001,2169,Astacio,Ezequiel F.
astap001,862,Astacio,Pedro Julio
astib001,14812,Astin,Barrett
astrj101,1000345,Astroth,Joseph Henry
NULL,15608,Astudillo,Willians Jose
asuac001,15197,Asuaje,Carlos A.
atchs001,2642,Atchison,Scott Barham
atchj001,1000346,Atchley,Justin Scott
athec101,1000347,Atherton,Charles Morgan Herbert
athek001,1000348,Atherton,Keith Rowe
atill001,3802,Atilano,Luis A.
atkig001,1790,Atkins,Garrett Bernard
atkij101,1000352,Atkins,James Curtis
atkim001,8369,Atkins,Mitchell Shane
atkit101,1000354,Atkins,Francis Montgomery
atkia101,1000349,Atkinson,Albert Wright
atkib101,1000350,Atkinson,William Cecil Glenn
atkie101,1000351,Atkinson,Edward
adkih101,1000076,Atkinson,John Harry
atkil101,1000353,Atkinson,Hubert Burley
attrd101,1000355,Attreau,Richard Gilbert
atwet101,1000356,Atwell,Maurice Dailey
atwob101,1000357,Atwood,William Franklin
atz-j101,1000358,Atz,Jacob Henry
aubrc101,1000359,Aubrey,Harry Herbert
aubrm001,6049,Aubrey,Robert Michael
aucod001,1000360,Aucoin,Derek Alfred
auder001,1000361,Aude,Richard Thomas
auerr101,1000362,Auerbach,Frederick Steven
augeb001,936,Augenstein,Bryan Christopher
augud001,1000364,August,Donald Glenn
augud101,1000363,Augustine,David Ralph
auguj001,1000365,Augustine,Gerald Lee
aukee101,1000366,Auker,Elden LeRoy
auldt101,1000367,Aulds,Leycester Doyle
aultd101,1000368,Ault,Douglas Reagan
aumop001,5362,Aumont,Phillippe
aurir001,1106,Aurilia,Richard Santo
ausaj001,1000369,Ausanio,Joseph John
ausmb001,546,Ausmus,Bradley David
austd101,1000370,Aust,Dennis Kay
austh101,1000371,Austin,Henry C.
austj002,587,Austin,Jeffrey Wellington
austj001,1000373,Austin,James Parker
austj101,1000372,Austin,James Philip
austr101,1000374,Austin,Rick Gerald
austt001,11850,Austin,Christopher Tyler
autra101,1000375,Autry,Albert
autrc102,1000377,Autry,Martin Gordon
autrc101,1000376,Autry,William Askew
NULL,15496,Avelino,Abiatal
avenb001,366,Aven,David Bruce
avere101,1000378,Averill,Howard Earl
avere102,1000379,Averill,Earl Douglas
avers001,1706,Avery,Steven Thomas
averx001,8471,Avery,Xavier Tyrone
avila001,7476,Avila,Alexander Thomas
avilb101,1000380,Avila,Roberto Francisco
avill001,2882,Avilan,Luis Armando
avilm001,5986,Aviles,Michael Anthony
avilr101,1000381,Aviles,Ramon Antonio
avrej101,1000382,Avrea,James Epherium
axeld001,9303,Axelrod,Dylan Davis Haines
axfoj001,9059,Axford,John Berton
ayalb001,1000383,Ayala,Benigno
ayalb002,1000384,Ayala,Robert Joseph
ayall001,1650,Ayala,Luis Ignacio
aybae001,4082,Aybar,Erick Johan
aybam001,1107,Aybar,Manuel Antonio
aybaw001,2192,Aybar,Willy Del Jesus
aydej101,1000385,Aydelott,Jacob Stuart
ayerb101,1000386,Ayers,William Oscar
ayerd101,1000387,Ayers,Yancey Wyatt
aylwd101,1000388,Aylward,Richard John
ayrab001,1000389,Ayrault,Robert Cunningham
ayraj001,1000390,Ayrault,Joseph Allen
azcuj101,1000391,Azcue,Jose Joaquin
azoco001,1000392,Azocar,Oscar Gregorio
babbc101,1000393,Babb,Charles Amos
babcb101,1000394,Babcock,Robert Ernest
babel101,1000395,Babe,Loren Rolland
babij101,1000396,Babich,John Charles
babic101,1000397,Babington,Charles Percy
babis101,1000398,Babitt,Mack Neal
backb001,1529,Backe,Brandon Allen
backl101,1000399,Backman,Lester John
backw001,1000400,Backman,Walter Wayne
bacoe101,1000401,Bacon,Edgar Suter
bacsm101,1000402,Bacsik,Michael James
bacsm001,863,Bacsik,Michael Joseph
baczf101,1000403,Baczewski,Frederic John
badeb001,9736,Badenhop,Burke Heinrich
badea101,1000404,Bader,Arthur Herman
badeh001,18030,Bader,Harrison Joseph
badek101,1000405,Bader,Lore Verne
badgr101,1000406,Badgro,Morris Hiram
baece101,1000407,Baecht,Edward Joseph
baekc001,8214,Baek,Cha-Seung
baerc001,175,Baerga,Carlos Obed
baezb001,1000408,Baez,Benito
baezd001,367,Baez,Danys G.
baezj001,12979,Baez,Ednel Javier
baezj101,1000409,Baez,Jose Antonio
baezk001,1000410,Baez,Kevin Richard
baezp001,5420,Baez,Pedro Alberys
NULL,17754,Baez,Sandy
bagbj102,1000412,Bagby,James Charles Jacob
bagbj101,1000411,Bagby,James Charles Jacob
bagwb101,1000413,Bagwell,William Mallory
bagwj001,547,Bagwell,Jeffrey Robert
bahns101,1000414,Bahnsen,Stanley Raymond
bahre101,1000415,Bahr,Edson Garfield
bahrf101,1000416,Bahret,Franklin F.
baicg101,1000417,Baichley,Grover Cleveland
bails001,1000430,Bailes,Scott Alan
baila001,1368,Bailey,Andrew Scott
bailb101,1000418,Bailey,William F.
bailb102,1000419,Bailey,Harry Lewis
bailb103,1000420,Bailey,Robert Sherwood
bailc001,588,Bailey,Philip Cory
baile101,1000421,Bailey,Lonas Edgar
bailf101,1000422,Bailey,Frederick Middleton
bailg101,1000423,Bailey,Arthur Eugene
bailh102,1000424,Bailey,Harvey Francis
bailh001,8362,Bailey,David Dewitt
bailh101,1000425,Bailey,Howard Lee
bailj001,2394,Bailey,Jeffrey Todd
bailj101,1000426,Bailey,James Hopkins
bailk101,1000427,Bailey,Linwood Clifton
bailm001,1000428,Bailey,John Mark
bailr001,1000429,Bailey,Charles Roger
bails102,1000431,Bailey,Steven John
bails101,1000432,Bailey,Abraham Lincoln
bailb001,1000433,Bailor,Robert Michael
bainl101,1000435,Bain,Herbert Loren
bainh001,1000434,Baines,Harold Douglas
baird001,1000439,Bair,Charles Douglas
baira101,1000436,Baird,Albert Wells
bairb101,1000437,Baird,Robert Allen
baird101,1000438,Baird,Howard Douglas
baisj001,9684,Baisley,Jeffrey Scot
bajej001,2920,Bajenaru,Jeffrey Michael
baked103,1000441,Bakenhaster,David Lee
bakea101,1000442,Baker,Albert Jones
bakeb101,1000443,Baker,William Presley
bakeb102,1000444,Baker,Charles
bakec102,1000445,Baker,Charles Arthur
bakec101,1000446,Baker,Charles Joseph
baked101,1000447,Baker,David Glenn
baked102,1000448,Baker,Delmer David
baked001,1000449,Baker,Douglas Lee
baked002,1000450,Baker,Johnnie B.
bakee101,1000451,Baker,Earnest Gould
bakef103,1000452,Baker,Floyd Wilton
bakef104,1000454,Baker,Frank
