NAME,PLAYERID,TEAM_1,TEAM_2,WINS,LOSSES,SAVES,GAMES_PITCHED,GAMES_STARTED,INNINGS_PITCHED,STRIKEOUTS_PER_NINE_INNINGS,WALKS_PER_NINE_INNINGS,HOME_RUNS_PER_NINE_INNINGS,BABIP,LEFT_ON_BASE_PERCENT,GROUND_BALL_PERCENT,HOME_RUN_TO_FLY_BALL,EARNED_RUN_AVERAGE,FIELDING_INDEPENDENT_PITCHING,EXPECTED_FIELDING_INDEPENDENT_PITCHING,WINS_ABOVE_REPLACEMENT
Dane de la Rosa,10095,LAA,NULL,6,1,2,75,0,72.1,8.09,3.48,0.37,0.273,74.3 %,51.3 %,5.5 %,2.86,2.99,3.49,1
Samuel Deduno,5285,MIN,NULL,8,8,0,18,18,108,5.58,3.42,0.58,0.291,73.7 %,59.7 %,10.3 %,3.83,4.04,4.06,1
Bryan Shaw,8110,CLE,NULL,7,3,1,70,0,75,8.76,3.36,0.48,0.271,70.6 %,42.5 %,6.1 %,3.24,3.07,3.58,1
Jean Machi,3220,SFN,NULL,3,1,0,51,0,53,8.66,2.04,0.34,0.301,77.9 %,54.4 %,5.3 %,2.38,2.29,2.78,1
Carlos Villanueva,4138,CHC,NULL,7,8,0,47,15,128.2,7.2,2.8,0.98,0.283,72.7 %,40.0 %,9.8 %,4.06,3.86,3.97,1
Josh Collmenter,7312,ARI,NULL,5,5,0,49,0,92,8.32,3.23,0.78,0.277,77.8 %,32.7 %,6.9 %,3.13,3.47,4.06,1
Brian Matusz,2646,BAL,NULL,2,1,0,65,0,51,8.82,2.82,0.53,0.292,70.4 %,39.3 %,5.6 %,3.53,2.91,3.59,1
Casey Fien,3926,MIN,NULL,5,2,0,73,0,62,10.6,1.74,1.31,0.28,69.4 %,37.3 %,13.8 %,3.92,3.16,2.71,1
Ross Detwiler,2859,WSH,NULL,2,7,0,13,13,71.1,4.92,1.77,0.63,0.344,71.2 %,45.6 %,6.4 %,4.04,3.66,4.25,0.9
Rex Brothers,9794,COL,NULL,2,1,19,72,0,67.1,10.16,4.81,0.67,0.28,88.8 %,48.8 %,9.3 %,1.74,3.36,3.49,0.9
Matt Lindstrom,4604,CWS,NULL,2,4,0,76,0,60.2,6.82,3.41,0.3,0.33,76.3 %,55.6 %,3.9 %,3.12,3.15,3.87,0.9
David Carpenter,3959,ATL,NULL,4,1,0,56,0,65.2,10.14,2.74,0.69,0.26,90.2 %,38.2 %,8.2 %,1.78,2.83,3.11,0.9
Nick Tepesch,11716,TEX,NULL,4,6,0,19,17,93,7.35,2.61,1.16,0.309,69.1 %,47.3 %,13.5 %,4.84,4.19,3.82,0.9
Brett Cecil,2660,TOR,NULL,5,1,1,60,0,60.2,10.38,3.41,0.59,0.267,77.6 %,51.3 %,9.3 %,2.82,2.88,2.99,0.9
Robbie Ross Jr.,6819,TEX,NULL,4,2,0,65,0,62.1,8.37,2.74,0.58,0.326,81.1 %,45.4 %,8.3 %,3.03,3.18,3.39,0.9
Zack Wheeler,10310,NYM,NULL,7,5,0,17,17,100,7.56,4.14,0.9,0.279,77.8 %,43.2 %,10.2 %,3.42,4.17,4.21,0.9
Paco Rodriguez,13398,LAD,NULL,3,4,2,76,0,54.1,10.44,3.15,0.83,0.21,81.8 %,46.6 %,12.2 %,2.32,3.08,2.92,0.9
Alexi Ogando,10261,TEX,NULL,7,4,0,23,18,104.1,6.21,3.54,0.95,0.254,80.8 %,40.7 %,8.7 %,3.11,4.36,4.64,0.9
Sam LeCure,4664,CIN,NULL,2,1,1,63,0,61,9.74,3.54,0.59,0.295,82.1 %,43.0 %,7.4 %,2.66,2.97,3.32,0.9
Yusmeiro Petit,4020,SFN,NULL,4,1,0,8,7,48,8.81,2.06,0.75,0.313,73.9 %,30.1 %,6.7 %,3.56,2.86,3.48,0.9
Edinson Volquez,3990,- - -,NULL,9,12,0,33,32,170.1,7.5,4.07,1,0.325,64.5 %,47.6 %,11.9 %,5.71,4.24,4.07,0.9
Sergio Santos,4734,TOR,NULL,1,1,1,29,0,25.2,9.82,1.4,0.35,0.175,73.5 %,50.0 %,4.2 %,1.75,1.84,2.61,0.9
Jim Johnson,3656,BAL,NULL,3,8,50,74,0,70.1,7.17,2.3,0.64,0.327,78.9 %,58.0 %,11.4 %,2.94,3.45,3.38,0.9
Junichi Tazawa,4079,BOS,NULL,5,4,0,71,0,68.1,9.48,1.58,1.19,0.321,82.4 %,33.8 %,11.8 %,3.16,3.22,3.03,0.9
Jordan Walden,3271,ATL,NULL,4,3,1,50,0,47,10.34,2.68,0.77,0.292,72.3 %,31.1 %,6.5 %,3.45,2.81,3.51,0.8
Roy Oswalt,571,COL,NULL,0,6,0,9,6,32.1,9.46,2.51,0.84,0.442,51.1 %,39.0 %,8.3 %,8.63,3.08,3.39,0.8
Jonathan Pettibone,7106,PHI,NULL,5,4,0,18,18,100.1,5.92,3.41,0.81,0.313,73.2 %,49.4 %,9.6 %,4.04,4.18,4.3,0.8
Will Harris,3192,ARI,NULL,4,1,0,61,0,52.2,9.06,2.56,0.51,0.326,79.6 %,47.3 %,7.0 %,2.91,2.74,3.12,0.8
Jared Burton,8346,MIN,NULL,2,9,2,71,0,66,8.32,3,0.82,0.294,74.1 %,41.5 %,8.2 %,3.82,3.61,3.94,0.8
J.P. Howell,8245,LAD,NULL,4,1,0,67,0,62,7.84,3.34,0.29,0.241,80.7 %,57.2 %,4.3 %,2.18,2.89,3.48,0.8
Andrew Albers,7853,MIN,NULL,2,5,0,10,10,60,3.75,1.05,0.9,0.278,60.4 %,43.5 %,7.8 %,4.05,3.96,4.42,0.8
Javier Lopez,1663,SFN,NULL,4,2,1,69,0,39.1,8.47,2.75,0.23,0.261,78.8 %,61.0 %,4.2 %,1.83,2.41,2.92,0.8
Mike Dunn,9948,MIA,NULL,3,4,2,75,0,67.2,9.58,3.72,0.67,0.271,81.1 %,39.5 %,6.6 %,2.66,3.12,3.7,0.8
Anthony Swarzak,7466,MIN,NULL,3,2,0,48,0,96,6.47,2.06,0.66,0.285,77.3 %,45.2 %,6.7 %,2.91,3.28,3.81,0.8
Dan Otero,7385,OAK,NULL,2,0,0,33,0,39,6.23,1.38,0,0.333,85.4 %,56.0 %,0.0 %,1.38,2.12,3.18,0.8
Jenrry Mejia,8476,NYM,NULL,1,2,0,5,5,27.1,8.89,1.32,0.66,0.329,78.8 %,58.0 %,12.5 %,2.3,2.46,2.31,0.8
Tom Gorzelanny,6244,MIL,NULL,3,6,0,43,10,85.1,8.75,3.27,1.16,0.288,72.9 %,44.1 %,12.8 %,3.9,3.94,3.64,0.8
Brian Duensing,4064,MIN,NULL,6,2,1,73,0,61,8.26,3.25,0.59,0.348,74.1 %,41.0 %,6.8 %,3.98,3.24,3.71,0.8
Kevin Siegrist,8180,STL,NULL,3,1,0,45,0,39.2,11.34,4.08,0.23,0.195,98.3 %,39.0 %,3.3 %,0.45,2.29,3,0.8
Johnny Cueto,6893,CIN,NULL,5,2,0,11,11,60.2,7.57,2.67,1.04,0.236,81.5 %,50.9 %,17.1 %,2.82,3.81,3.23,0.8
Trevor Cahill,6249,ARI,NULL,8,10,0,26,25,146.2,6.26,3.99,0.8,0.289,73.5 %,56.2 %,12.1 %,3.99,4.26,4.11,0.8
Kevin Slowey,9918,MIA,NULL,3,6,0,20,14,92,7.43,1.76,1.17,0.33,75.5 %,28.7 %,9.4 %,4.11,3.81,4.01,0.8
Jeremy Hefner,1989,NYM,NULL,4,8,0,24,23,130.2,6.82,2.55,1.38,0.284,67.8 %,44.6 %,13.4 %,4.34,4.49,4.05,0.7
Taylor Jordan,10466,WSH,NULL,1,3,0,9,9,51.2,5.05,1.92,0.52,0.322,66.9 %,57.5 %,7.5 %,3.66,3.49,3.8,0.7
Jesse Chavez,5448,OAK,NULL,2,4,1,35,0,57.1,8.63,3.14,0.47,0.281,66.9 %,43.5 %,4.8 %,3.92,3.01,3.83,0.7
Paul Maholm,8678,ATL,NULL,10,11,0,26,26,153,6.18,2.76,1,0.31,71.2 %,51.3 %,13.8 %,4.41,4.24,3.89,0.7
J.J. Hoover,9037,CIN,NULL,5,5,3,69,0,66,9.14,3.55,0.82,0.244,81.1 %,30.8 %,7.4 %,2.86,3.47,3.97,0.7
Darren O'Day,3321,BAL,NULL,5,3,2,68,0,62,8.56,2.18,1.02,0.248,89.2 %,36.8 %,10.4 %,2.18,3.58,3.59,0.7
Todd Redmond,9943,TOR,NULL,4,3,0,17,14,77,8.88,2.69,1.52,0.277,75.5 %,30.3 %,11.8 %,4.32,4.4,4.16,0.7
Brandon Cumpton,11366,PIT,NULL,2,1,0,6,5,30.2,6.46,1.47,0.29,0.263,78.4 %,54.3 %,3.7 %,2.05,2.62,3.4,0.7
Jason Frasor,1906,TEX,NULL,4,3,0,61,0,49,8.82,3.67,0.73,0.25,81.4 %,44.6 %,8.5 %,2.57,3.37,3.62,0.7
Ernesto Frieri,5178,LAA,NULL,2,4,37,67,0,68.2,12.84,3.93,1.44,0.293,81.3 %,23.6 %,11.8 %,3.8,3.72,3.49,0.7
Joe Kelly,9761,STL,NULL,10,5,0,37,15,124,5.73,3.19,0.73,0.289,82.4 %,51.1 %,8.9 %,2.69,4.01,4.19,0.7
Jose Veras,2063,- - -,NULL,0,5,21,67,0,62.2,8.62,3.16,0.86,0.241,76.7 %,41.8 %,8.3 %,3.02,3.62,3.95,0.7
Louis Coleman,9720,KCA,NULL,3,0,0,27,0,29.2,9.71,1.82,0.3,0.257,97.6 %,41.4 %,4.2 %,0.61,2.04,2.7,0.7
Robbie Erlin,10354,SDN,NULL,3,3,0,11,9,54.2,6.59,2.47,0.99,0.283,70.5 %,37.3 %,9.5 %,4.12,3.83,3.98,0.7
Oliver Perez,1514,SEA,NULL,3,3,2,61,0,53,12.57,4.42,1.02,0.361,78.7 %,30.6 %,9.8 %,3.74,3.26,3.36,0.7
Aaron Loup,10343,TOR,NULL,4,6,2,64,0,69.1,6.88,1.69,0.65,0.299,79.8 %,59.9 %,10.6 %,2.47,3.32,3.31,0.7
Jake Diekman,5003,PHI,NULL,1,4,0,45,0,38.1,9.63,3.76,0.23,0.311,72.0 %,51.0 %,5.0 %,2.58,2.5,2.87,0.7
Tommy Hunter,1157,BAL,NULL,6,5,4,68,0,86.1,7.09,1.46,1.15,0.249,82.4 %,39.0 %,10.9 %,2.81,3.68,3.63,0.7
Tanner Scheppers,10267,TEX,NULL,6,2,1,76,0,76.2,6.93,2.82,0.7,0.252,84.4 %,50.5 %,9.2 %,1.88,3.74,3.88,0.6
Antonio Bastardo,8844,PHI,NULL,3,2,2,48,0,42.2,9.91,4.43,0.42,0.287,82.4 %,31.4 %,3.8 %,2.32,3,4.09,0.6
Gonzalez Germen,5876,NYM,NULL,1,2,1,29,0,34.1,8.65,4.19,0.26,0.313,70.8 %,37.4 %,2.4 %,3.93,2.9,4.16,0.6
Tony Watson,3132,PIT,NULL,3,1,2,67,0,71.2,6.78,1.51,0.63,0.227,80.7 %,43.8 %,6.7 %,2.39,3.2,3.72,0.6
Tim Collins,3164,KCA,NULL,3,6,0,66,0,53.1,8.78,4.73,0.51,0.307,70.1 %,37.7 %,4.8 %,3.54,3.4,4.29,0.6
Josh Outman,4004,COL,NULL,3,0,0,61,0,54,8.83,3.83,0.5,0.34,70.7 %,51.3 %,7.0 %,4.33,3.25,3.62,0.6
Jaime Garcia,8137,STL,NULL,5,2,0,9,9,55.1,6.99,2.44,0.98,0.3,72.3 %,63.0 %,15.4 %,3.58,3.72,3.27,0.6
Jake McGee,7550,TBA,NULL,5,3,1,71,0,62.2,10.77,3.16,1.15,0.286,73.7 %,42.5 %,12.9 %,4.02,3.41,3.11,0.6
Randy Choate,813,STL,NULL,2,1,0,64,0,35.1,7.13,2.8,0,0.26,76.9 %,68.4 %,0.0 %,2.29,2.57,3.3,0.6
Ian Kennedy,6986,- - -,NULL,7,10,0,31,31,181.1,8.09,3.62,1.34,0.295,69.1 %,38.2 %,13.2 %,4.91,4.59,4.19,0.6
Joel Peralta,2332,TBA,NULL,3,8,1,80,0,71.1,9.34,4.29,0.88,0.227,70.2 %,26.7 %,7.2 %,3.41,3.68,4.26,0.6
Dan Jennings,8073,MIA,NULL,2,4,0,47,0,40.2,8.41,3.54,0.22,0.328,70.9 %,48.7 %,2.7 %,3.76,2.68,3.6,0.6
AJ Ramos,8350,MIA,NULL,3,4,0,68,0,80,9.68,4.84,0.45,0.266,72.9 %,38.7 %,4.6 %,3.15,3.24,4.07,0.6
Manny Parra,4279,CIN,NULL,2,3,0,57,0,46,10.96,2.93,0.98,0.315,77.6 %,43.8 %,13.2 %,3.33,3.07,2.79,0.6
Jason Hammel,4538,BAL,NULL,7,8,1,26,23,139.1,6.2,3.1,1.42,0.304,72.1 %,40.1 %,12.8 %,4.97,4.93,4.56,0.6
Jamey Wright,715,TBA,NULL,2,2,0,66,1,70,8.36,2.96,0.51,0.298,76.7 %,50.8 %,7.1 %,3.09,3.13,3.48,0.6
Blake Parker,5224,CHC,NULL,1,2,1,49,0,46.1,10.68,2.91,0.78,0.294,77.4 %,28.7 %,6.7 %,2.72,2.9,3.54,0.6
David Hale,9756,ATL,NULL,1,0,0,2,2,11,11.45,0.82,0,0.355,91.7 %,63.3 %,0.0 %,0.82,0.78,1.27,0.6
Grant Balfour,718,OAK,NULL,1,3,38,65,0,62.2,10.34,3.88,1.01,0.263,84.4 %,37.9 %,11.1 %,2.59,3.49,3.42,0.6
Scott Downs,773,- - -,NULL,4,4,0,68,0,43.1,7.68,3.95,0.21,0.338,82.0 %,64.3 %,6.3 %,2.49,3.09,3.3,0.6
Justin Grimm,11720,- - -,NULL,7,9,0,27,17,98,6.98,3.12,1.38,0.333,63.7 %,42.9 %,12.9 %,5.97,4.59,4.22,0.6
Rafael Soriano,1100,WSH,NULL,3,3,43,68,0,66.2,6.89,2.3,0.95,0.287,80.3 %,33.5 %,8.1 %,3.11,3.65,4.05,0.6
Brad Ziegler,7293,ARI,NULL,8,1,13,78,0,73,5.42,2.71,0.37,0.258,80.7 %,70.4 %,12.5 %,2.22,3.4,3.32,0.6
Justin Wilson,4301,PIT,NULL,6,1,0,58,0,73.2,7.21,3.42,0.49,0.229,84.9 %,53.0 %,6.7 %,2.08,3.41,3.82,0.6
Wilton Lopez,4227,COL,NULL,3,4,0,75,0,75.1,5.73,2.15,0.72,0.331,73.0 %,49.6 %,9.4 %,4.06,3.57,3.69,0.6
Luis Avilan,2882,ATL,NULL,5,0,0,75,0,65,5.26,3.05,0.14,0.204,83.6 %,57.7 %,2.2 %,1.52,3.28,4.02,0.5
Ryan Dempster,517,BOS,NULL,8,9,0,32,29,171.1,8.25,4.15,1.37,0.296,72.3 %,40.8 %,13.8 %,4.57,4.68,4.21,0.5
Brandon Workman,11428,BOS,NULL,6,3,0,20,3,41.2,10.15,3.24,1.08,0.345,69.2 %,38.8 %,12.5 %,4.97,3.43,3.18,0.5
Taijuan Walker,11836,SEA,NULL,1,0,0,3,3,15,7.2,2.4,0,0.25,53.3 %,38.1 %,0.0 %,3.6,2.25,3.8,0.5
Danny Duffy,3542,KCA,NULL,2,0,0,5,5,24.1,8.14,5.18,0,0.284,85.3 %,31.8 %,0.0 %,1.85,3.09,4.6,0.5
Jeremy Guthrie,2072,KCA,NULL,15,12,0,33,33,211.2,4.72,2.51,1.28,0.296,78.2 %,42.9 %,12.1 %,4.04,4.79,4.55,0.5
Pedro Strop,4070,- - -,NULL,2,5,1,66,0,57.1,10.36,4.08,0.78,0.265,67.1 %,48.6 %,13.5 %,4.55,3.55,3.3,0.5
Shawn Kelley,7773,NYY,NULL,4,2,0,57,0,53.1,11.98,3.88,1.35,0.312,71.4 %,33.1 %,13.1 %,4.39,3.63,3.24,0.5
Joe Smith,3281,CLE,NULL,6,2,3,70,0,63,7.71,3.29,0.71,0.282,86.3 %,49.1 %,9.6 %,2.29,3.6,3.7,0.5
Tyler Lyons,11334,STL,NULL,2,4,0,12,8,53,7.3,2.72,0.85,0.282,63.9 %,47.4 %,9.6 %,4.75,3.73,3.84,0.5
Tom Koehler,6570,MIA,NULL,5,10,0,29,23,143,5.79,3.4,0.88,0.289,70.8 %,47.6 %,10.4 %,4.41,4.27,4.28,0.5
Jose Mijares,4140,SFN,NULL,0,3,0,60,0,49,9.92,3.67,0.55,0.41,76.9 %,34.6 %,5.1 %,4.22,3.05,3.9,0.5
Caleb Thielbar,10078,MIN,NULL,3,2,0,49,0,46,7.63,2.74,0.78,0.175,83.3 %,26.7 %,6.3 %,1.76,3.4,4.14,0.5
Vin Mazzaro,5231,PIT,NULL,8,2,1,57,0,73.2,5.62,2.57,0.37,0.281,78.6 %,52.2 %,4.5 %,2.81,3.31,4,0.5
Scott Rice,2743,NYM,NULL,4,5,0,73,0,51,7.24,4.76,0.18,0.289,70.4 %,60.3 %,4.0 %,3.71,3.4,3.82,0.5
Kelvin Herrera,6033,KCA,NULL,5,7,2,59,0,58.1,11.42,3.24,1.39,0.281,75.3 %,47.6 %,18.0 %,3.86,3.7,2.86,0.5
Craig Breslow,4363,BOS,NULL,5,2,0,61,0,59.2,4.98,2.72,0.45,0.254,81.8 %,44.8 %,4.8 %,1.81,3.6,4.37,0.5
Jim Henderson,6653,MIL,NULL,5,5,28,61,0,60,11.25,3.6,1.2,0.261,88.4 %,27.6 %,12.5 %,2.7,3.58,3.31,0.5
James Paxton,11828,SEA,NULL,3,0,0,4,4,24,7.88,2.63,0.75,0.203,88.5 %,59.1 %,12.5 %,1.5,3.26,3.08,0.4
John Lannan,7080,PHI,NULL,3,6,0,14,14,74.1,4.6,3.27,0.73,0.313,63.9 %,52.4 %,7.9 %,5.33,4.37,4.71,0.4
Rafael Betancourt,177,COL,NULL,2,5,16,32,0,28.2,8.48,3.45,0.63,0.289,64.3 %,34.6 %,5.0 %,4.08,3.22,4.22,0.4
Tyler Clippard,5640,WSH,NULL,6,3,0,72,0,71,9.25,3.04,1.14,0.17,87.8 %,27.9 %,9.4 %,2.41,3.82,4.02,0.4
Jordan Lyles,7593,HOU,NULL,7,9,1,27,25,141.2,5.91,3.11,1.08,0.314,63.1 %,48.4 %,11.6 %,5.59,4.57,4.41,0.4
Josh Johnson,4567,TOR,NULL,2,8,0,16,16,81.1,9.18,3.32,1.66,0.356,63.3 %,45.1 %,18.5 %,6.2,4.62,3.58,0.4
Jarred Cosart,10304,HOU,NULL,1,1,0,10,10,60,4.95,5.25,0.45,0.246,85.9 %,54.5 %,7.0 %,1.95,4.35,4.68,0.4
Chad Qualls,2170,MIA,NULL,5,2,0,66,0,62,7.11,2.76,0.58,0.298,82.9 %,63.3 %,11.4 %,2.61,3.32,3.25,0.4
Matt Reynolds,8887,ARI,NULL,0,2,2,30,0,27.1,7.57,1.65,0.66,0.288,85.1 %,38.8 %,7.7 %,1.98,2.97,3.32,0.4
Will Smith,8048,KCA,NULL,2,1,0,19,1,33.1,11.61,1.89,1.62,0.243,67.8 %,43.0 %,18.8 %,3.24,3.53,2.5,0.4
Kevin Gausman,14107,BAL,NULL,3,5,0,20,5,47.2,9.25,2.45,1.51,0.328,64.4 %,42.0 %,18.6 %,5.66,3.99,3.04,0.4
B.J. Rosenberg,7183,PHI,NULL,2,0,1,22,0,19.2,8.69,4.12,0,0.345,65.5 %,36.8 %,0.0 %,4.58,2.49,4.29,0.4
T.J. McFarland,3237,BAL,NULL,4,1,0,38,1,74.2,6.99,3.37,0.84,0.319,73.1 %,57.8 %,12.1 %,4.22,3.84,3.68,0.4
Burke Badenhop,9736,MIL,NULL,2,3,1,63,0,62.1,6.06,1.73,0.87,0.289,64.0 %,51.1 %,11.8 %,3.47,3.53,3.4,0.4
Brian Wilson,6485,LAD,NULL,2,1,0,18,0,13.2,8.56,2.63,0,0.25,91.7 %,56.3 %,0.0 %,0.66,2.02,2.82,0.4
Daisuke Matsuzaka,7775,NYM,NULL,3,3,0,7,7,38.2,7.68,3.72,0.93,0.259,67.5 %,28.3 %,7.7 %,4.42,4.32,4.81,0.4
Stephen Pryor,10663,SEA,NULL,0,0,0,7,0,7.1,8.59,1.23,0,0.167,100.0 %,38.9 %,0.0 %,0,1.55,2.85,0.4
Bruce Rondon,5766,DET,NULL,1,2,1,30,0,28.2,9.42,3.45,0.63,0.329,77.4 %,46.8 %,8.7 %,3.45,3.01,3.2,0.4
Francisco Rodriguez,1642,- - -,NULL,3,2,10,48,0,46.2,10.41,2.7,1.35,0.299,91.1 %,36.4 %,15.2 %,2.7,3.65,3.04,0.4
Ross Ohlendorf,8268,WSH,NULL,4,1,0,16,7,60.1,6.71,2.09,1.19,0.268,81.9 %,39.1 %,11.0 %,3.28,4.03,3.95,0.4
Rob Wooten,8532,MIL,NULL,3,1,0,27,0,27.2,5.86,2.6,0.33,0.299,69.4 %,43.7 %,3.2 %,3.9,3.19,4.25,0.4
Fernando Abad,4994,WSH,NULL,0,3,0,39,0,37.2,7.65,2.39,0.72,0.325,79.9 %,39.3 %,6.3 %,3.35,3.26,3.97,0.3
Robert Coello,1149,LAA,NULL,2,2,1,16,0,17,12.18,4.24,0.53,0.317,72.8 %,20.0 %,5.3 %,3.71,2.52,3.28,0.3
Jeff Francis,4684,COL,NULL,3,5,0,23,12,70.1,8.06,3.07,1.54,0.344,61.7 %,46.8 %,15.6 %,6.27,4.54,3.82,0.3
Ryan Webb,7474,MIA,NULL,2,6,0,66,0,80.1,6.05,3.02,0.56,0.266,75.0 %,56.3 %,8.5 %,2.91,3.6,3.79,0.3
Jerry Blevins,7841,OAK,NULL,5,0,0,67,0,60,7.8,2.55,1.05,0.242,77.3 %,31.3 %,8.4 %,3.15,3.88,4.25,0.3
Roberto Hernandez,3273,TBA,NULL,6,13,1,32,24,151,6.74,2.26,1.43,0.308,70.6 %,53.2 %,20.9 %,4.89,4.63,3.6,0.3
Andrew Miller,6785,BOS,NULL,1,2,0,37,0,30.2,14.09,4.99,0.88,0.338,80.4 %,56.1 %,20.0 %,2.64,3.05,2.44,0.3
Tommy Hanson,9129,LAA,NULL,4,3,0,15,13,73,6.9,3.7,1.23,0.32,67.7 %,32.8 %,9.5 %,5.42,4.65,4.83,0.3
Sean Marshall,5905,CIN,NULL,0,1,0,16,0,10.1,8.71,1.74,0,0.167,57.1 %,58.3 %,0.0 %,1.74,1.98,2.78,0.3
Matt Albers,4300,CLE,NULL,3,1,0,56,0,63,5,3.29,0.29,0.274,71.6 %,63.8 %,5.9 %,3.14,3.49,3.82,0.3
Carlos Martinez,11682,STL,NULL,2,1,1,21,1,28.1,7.62,2.86,0.32,0.345,64.9 %,52.3 %,4.0 %,5.08,3.08,3.83,0.3
Drake Britton,2868,BOS,NULL,1,1,0,18,0,21,7.29,3,0.43,0.339,71.4 %,46.7 %,5.9 %,3.86,3.05,3.53,0.3
Michael Roth,13736,LAA,NULL,1,1,0,15,1,20,7.65,2.7,0,0.369,48.4 %,41.3 %,0.0 %,7.2,2.4,3.63,0.3
Ryan Pressly,7005,MIN,NULL,3,3,0,49,0,76.2,5.75,3.17,0.59,0.282,67.0 %,43.8 %,6.1 %,3.87,3.67,4.29,0.3
Seth Maness,12235,STL,NULL,5,2,1,66,0,62,5.08,1.89,0.58,0.311,84.5 %,68.4 %,16.7 %,2.32,3.43,3.13,0.3
Jake Odorizzi,6397,TBA,NULL,0,1,1,7,4,29.2,6.67,2.43,0.91,0.287,74.0 %,32.2 %,7.9 %,3.94,3.89,4.33,0.3
Josh Lindblom,7882,TEX,NULL,1,3,0,8,5,31.1,6.03,3.16,1.15,0.307,66.8 %,36.2 %,10.0 %,5.46,4.42,4.5,0.3
Tyler Cloyd,8536,PHI,NULL,2,7,0,13,11,60.1,6.12,3.73,1.04,0.365,64.5 %,39.4 %,8.9 %,6.56,4.49,4.77,0.3
Erik Davis,8422,WSH,NULL,1,0,0,10,0,8.2,12.46,1.04,0,0.4,72.7 %,50.0 %,0.0 %,3.12,0.62,1.41,0.3
Brett Anderson,8223,OAK,NULL,1,4,3,16,5,44.2,9.27,4.23,1.01,0.359,61.5 %,62.9 %,17.9 %,6.04,3.85,3.26,0.3
Joe Saunders,4366,SEA,NULL,11,16,0,32,32,183,5.26,3,1.23,0.332,68.7 %,51.2 %,14.5 %,5.26,4.72,4.23,0.3
Kevin Jepsen,6475,LAA,NULL,1,3,0,45,0,36,9,3.5,0.75,0.345,67.6 %,40.4 %,7.0 %,4.5,3.38,3.93,0.3
Yoervis Medina,10498,SEA,NULL,4,6,1,63,0,68,9.4,5.29,0.66,0.257,82.6 %,53.8 %,10.6 %,2.91,3.86,3.85,0.3
Wandy Rodriguez,2586,PIT,NULL,6,4,0,12,12,62.2,6.61,1.72,1.44,0.255,80.0 %,42.3 %,13.2 %,3.59,4.42,4,0.3
Joe Thatcher,4620,- - -,NULL,3,2,0,72,0,39.1,8.24,2.29,0.92,0.319,81.5 %,36.3 %,9.3 %,3.2,3.38,3.55,0.3
Ronald Belisario,2203,LAD,NULL,5,7,1,77,0,68,6.49,3.71,0.4,0.321,70.4 %,61.4 %,7.9 %,3.97,3.64,3.83,0.2
Alex Wilson,9239,BOS,NULL,1,1,0,26,0,27.2,7.16,4.55,0,0.378,67.4 %,31.1 %,0.0 %,4.88,3.08,4.81,0.2
Stephen Fife,8077,LAD,NULL,4,4,0,12,10,58.1,6.94,3.09,1.08,0.343,78.4 %,51.9 %,14.9 %,3.7,4.35,3.89,0.2
Jon Garland,232,COL,NULL,4,6,0,12,12,68,4.24,3.04,1.19,0.321,66.7 %,49.1 %,13.6 %,5.82,4.93,4.54,0.2
Anthony Varvaro,2385,ATL,NULL,3,1,1,62,0,73.1,5.28,3.07,0.37,0.278,76.8 %,47.2 %,4.5 %,2.82,3.47,4.19,0.2
Carlos Carrasco,6632,CLE,NULL,1,4,0,15,7,46.2,5.79,3.47,0.77,0.364,60.7 %,50.3 %,8.7 %,6.75,4.1,4.33,0.2
Jacob Turner,10185,MIA,NULL,3,8,0,20,20,118,5.87,4.12,0.84,0.285,75.0 %,45.7 %,8.5 %,3.74,4.43,4.71,0.2
Aaron Harang,1451,- - -,NULL,5,12,0,26,26,143.1,7.1,2.51,1.63,0.288,66.4 %,36.0 %,12.7 %,5.4,4.79,4.38,0.2
Boone Logan,5525,NYY,NULL,5,2,0,61,0,39,11.54,3,1.62,0.292,85.6 %,47.3 %,20.0 %,3.23,3.82,2.71,0.2
Drew Storen,6983,WSH,NULL,4,2,3,68,0,61.2,8.46,2.77,1.02,0.319,67.8 %,40.9 %,9.9 %,4.52,3.62,3.71,0.2
Darin Downs,5903,DET,NULL,0,2,0,29,0,35.1,9.42,2.8,1.02,0.33,66.8 %,45.0 %,10.5 %,4.84,3.53,3.53,0.2
Tim Stauffer,6432,SDN,NULL,3,1,0,43,0,69.2,8.27,2.58,0.9,0.275,73.8 %,50.5 %,14.3 %,3.75,3.55,3.2,0.2
Jeanmar Gomez,9033,PIT,NULL,3,0,0,34,8,80.2,5.91,3.12,0.67,0.243,69.6 %,55.4 %,9.5 %,3.35,3.85,3.95,0.2
Bobby LaFromboise,7758,SEA,NULL,0,1,0,10,0,10.2,9.28,3.38,0,0.375,50.0 %,35.5 %,0.0 %,5.91,2.11,3.52,0.2
Brandon Beachy,8851,ATL,NULL,2,1,0,5,5,30,6.9,1.2,1.5,0.25,58.3 %,41.6 %,13.5 %,4.5,4.08,3.6,0.2
Al Alburquerque,6324,DET,NULL,4,3,0,53,0,49,12.86,6.24,0.92,0.312,73.5 %,40.4 %,12.8 %,4.59,3.72,3.48,0.2
Heath Hembree,11632,SFN,NULL,0,0,0,9,0,7.2,14.09,2.35,0,0.267,100.0 %,53.3 %,0.0 %,0,0.7,1.59,0.2
